"academica","personal","economica","institucional","deserta"
"94",2,2,2,2,0
"95",1,1,1,3,1
"96",3,1,3,2,0
"97",3,1,2,3,1
"98",2,1,1,2,0
"99",2,2,1,3,0
"100",0,0,2,3,1
"101",2,1,0,3,1
"102",3,1,2,1,1
"103",2,1,1,2,1
"104",2,1,2,3,0
"105",3,1,2,2,0
"106",2,1,1,3,0
"107",2,1,1,2,1
"108",3,2,2,2,0
"109",2,2,2,2,0
"110",2,1,2,3,1
"111",2,1,2,3,1
"112",2,1,2,2,0
"113",2,0,1,2,0
"114",3,1,2,2,0
"115",2,1,2,2,0
"116",2,1,1,1,1
"117",2,1,1,2,0
"118",2,1,1,2,0
"119",2,2,2,3,1
"120",2,1,2,2,0
"121",2,1,1,3,1
"122",2,2,2,2,1
"123",2,2,2,2,1
"124",2,1,2,2,0
"125",2,2,1,1,0
"126",3,1,2,2,1
"127",2,1,2,3,1
"128",2,2,1,3,1
"129",1,1,2,2,0
"130",2,1,1,2,0
"131",2,1,2,2,0
"132",2,1,1,2,1
"133",3,1,2,2,0
"134",2,1,2,1,0
"135",2,1,1,3,1
"136",2,2,2,2,0
"137",2,1,2,3,1
"138",2,1,0,3,1
"139",2,2,2,3,1
"140",2,1,1,2,0
"141",2,1,1,3,0
"142",4,2,1,3,1
"143",2,1,3,3,0
"144",2,1,2,3,1
"145",2,1,2,2,1
"146",2,2,2,1,1
"147",4,2,1,2,1
"148",2,1,1,3,1
"149",2,1,2,2,0
"150",2,2,0,2,0
"151",2,1,1,3,1
"152",2,1,1,2,0
"153",2,1,1,3,1
"154",0,0,2,3,1
"155",3,1,1,3,0
"156",2,1,1,2,0
"157",2,2,2,2,1
"158",3,2,2,3,0
"159",2,1,2,2,0
"160",2,2,2,1,1
"161",2,2,1,3,1
"162",2,1,1,3,0
"163",2,2,2,2,0
"164",3,1,2,3,1
"165",2,1,1,2,0
"166",3,1,2,2,0
"167",3,1,2,2,0
"168",1,1,1,3,1
"169",2,1,1,2,0
"170",2,1,1,2,0
"171",3,1,2,2,1
"172",2,1,0,2,1
"173",3,1,1,2,0
"174",2,2,2,2,0
"175",2,1,1,2,1
"176",2,2,1,2,0
"177",3,1,2,3,0
"178",2,1,2,2,1
"179",3,1,1,2,1
"180",2,1,2,2,1
"181",2,0,0,2,0
"182",3,1,2,2,1
"183",2,2,1,1,0
"184",2,1,1,3,0
"185",2,2,0,2,1
"186",2,2,1,2,0
"187",2,1,3,2,0
"188",2,1,1,2,0
"189",2,1,2,2,1
"190",2,1,1,2,1
"191",2,1,1,2,0
"192",2,1,0,2,0
"193",2,1,2,2,1
"194",3,1,2,3,1
"195",2,1,2,2,0
"196",2,1,1,3,1
"197",2,1,2,2,0
"198",0,0,2,3,0
"199",2,2,2,2,1
"200",2,1,1,2,0
"201",2,1,1,3,1
"202",2,1,2,3,0
"203",2,2,2,2,0
"204",3,2,2,3,1
"205",3,1,2,3,1
"206",2,1,2,1,0
"207",3,1,2,2,0
"208",2,1,2,3,1
"209",3,1,1,3,0
"210",2,1,1,2,1
"211",3,1,2,2,0
"212",2,1,2,2,1
"213",2,1,2,2,0
"214",3,1,2,3,0
"215",2,1,1,3,0
"216",2,1,2,3,1
"217",2,1,2,2,0
"218",2,2,2,3,1
"219",2,0,0,2,1
"220",2,1,1,2,0
"221",2,1,1,3,1
"222",2,1,2,2,0
"223",3,2,2,2,1
"224",2,1,2,2,1
"225",2,1,2,2,0
"226",2,1,1,3,1
"227",3,1,1,3,1
"228",2,1,2,2,0
"229",2,0,2,3,1
"230",2,1,2,2,1
"231",2,1,2,2,1
"232",2,1,1,1,0
"233",2,1,1,3,0
"234",3,1,1,3,1
"235",3,1,2,2,0
"236",2,1,3,2,0
"237",2,1,1,3,1
"238",4,2,2,2,1
"239",2,1,1,3,1
"240",3,1,2,2,0
"241",4,2,1,2,1
"242",2,1,1,1,0
"243",2,1,2,3,1
"244",3,2,3,2,1
"245",2,1,2,2,1
"246",2,1,1,2,0
"247",2,2,0,2,1
"248",2,1,1,1,0
"249",2,1,1,2,0
"250",2,2,1,3,0
"251",3,1,2,3,1
"252",3,1,2,2,0
"253",2,1,1,2,0
"254",2,1,1,1,0
"255",2,1,1,2,0
"256",2,1,2,3,0
"257",2,2,2,1,1
"258",2,2,1,2,0
"259",2,1,0,2,0
"260",2,1,1,2,0
"261",1,1,1,3,0
"262",2,1,2,2,1
"263",2,1,1,3,1
"264",2,1,1,2,0
"265",1,1,1,1,1
"266",2,1,0,2,1
"267",2,1,1,3,1
"268",2,1,1,2,0
"269",2,1,1,3,0
"270",2,1,2,2,0
"271",2,1,1,3,0
"272",2,1,1,2,0
"273",2,1,2,2,0
"274",2,1,2,2,1
"275",3,1,1,3,0
"276",2,2,1,3,1
"277",2,1,1,3,1
"278",2,1,0,2,1
"279",2,1,2,3,0
"280",2,1,2,3,0
"281",2,1,0,3,0
"282",2,1,1,2,1
"283",2,1,0,3,0
"284",3,1,2,2,0
"285",2,1,2,2,0
"286",2,2,2,2,0
"287",2,1,1,2,1
"288",2,1,2,2,0
"289",2,1,2,2,0
"290",3,2,2,3,1
"291",2,1,1,1,1
"292",2,1,2,2,1
"293",2,1,1,3,1
"294",2,1,1,3,1
"295",2,2,2,1,0
"296",2,1,2,3,0
"297",2,1,1,1,0
"298",2,1,1,2,1
"299",2,2,1,3,0
"300",2,1,2,2,0
"301",3,1,2,3,1
"302",2,1,2,3,0
"303",2,2,2,2,1
"304",2,1,1,3,0
"305",2,1,0,3,1
"306",2,2,2,3,1
"307",2,1,0,2,1
"308",3,1,2,1,1
"309",2,1,2,2,1
"310",1,2,1,2,1
"311",2,1,0,2,0
"312",2,1,2,2,1
"313",2,1,1,3,1
"314",2,1,2,1,0
"315",2,1,1,2,0
"316",3,1,1,3,1
"317",3,1,2,2,0
"318",3,1,2,3,1
"319",2,1,2,1,0
"320",2,1,1,3,0
"321",3,2,3,3,1
"322",2,2,2,2,0
"323",2,1,0,2,0
"324",1,1,1,3,0
"325",2,1,1,3,1
"326",2,1,3,2,0
"327",2,1,1,3,1
"328",2,1,3,2,0
"329",2,1,2,3,0
"330",2,1,2,2,0
"331",0,0,2,2,0
"332",2,1,1,2,0
"333",2,1,2,3,1
"334",2,1,1,3,0
"335",2,1,2,3,1
"336",3,1,2,0,1
"337",3,1,3,2,0
"338",2,2,2,2,0
"339",2,2,0,2,0
"340",2,2,1,2,1
"341",2,1,0,2,0
"342",2,2,2,3,0
"343",4,2,1,2,0
"344",2,2,3,2,0
"345",3,1,1,2,1
"346",2,2,1,2,1
"347",3,1,2,2,0
"348",2,1,0,2,1
"349",2,2,2,2,1
"350",2,1,2,1,0
"351",3,1,2,3,1
"352",2,1,0,3,1
"353",0,1,2,2,1
"354",2,2,2,1,0
"355",2,1,0,3,0
"356",2,1,1,2,1
"357",3,1,3,2,1
"358",2,1,0,3,0
"359",2,2,2,2,0
"360",2,1,2,3,0
"361",2,1,1,3,0
"362",2,2,0,2,0
"363",2,1,1,2,0
"364",3,1,2,3,0
"365",3,1,1,3,1
"366",2,1,2,3,1
"367",0,0,2,1,1
"368",3,1,2,2,0
"369",2,2,2,2,0
"370",1,2,1,3,1
"371",2,2,3,2,1
"372",3,1,0,2,0
"373",2,1,1,2,1
"374",2,1,0,1,0
"375",2,1,2,2,1
"376",3,1,2,2,0
"377",1,1,1,3,0
"378",3,1,1,3,1
"379",2,2,0,2,1
"380",2,2,2,2,1
"381",2,1,1,2,0
"382",2,1,2,1,0
"383",2,1,1,2,0
"384",2,1,1,2,0
"385",2,1,3,2,0
"386",2,2,0,1,1
"387",3,1,2,3,0
"388",2,1,1,3,1
"389",2,1,0,3,1
"390",2,1,1,2,0
"391",2,2,1,2,0
"392",2,1,1,3,0
"393",2,1,2,2,0
"394",2,1,2,3,0
"395",2,2,0,1,1
"396",2,2,2,2,1
"397",0,1,2,1,0
"398",3,1,2,3,0
"399",1,1,1,3,1
"400",2,1,0,1,0
"401",2,1,0,2,1
"402",0,2,2,3,0
"403",2,1,2,3,0
"404",2,1,1,3,0
"405",3,1,2,3,1
"406",0,0,2,2,1
"407",2,1,2,1,0
"408",3,1,2,1,1
"409",2,1,2,3,1
"410",2,1,2,2,0
"411",2,2,2,2,0
"412",3,1,2,2,1
"413",2,1,1,1,1
"414",0,0,2,1,1
"415",3,1,2,2,0
"416",2,1,2,3,1
"417",2,1,1,2,1
"418",2,1,0,2,1
"419",3,1,2,2,0
"420",0,0,2,3,1
"421",0,0,2,3,1
"422",3,1,3,1,0
"423",2,1,1,2,0
"424",4,2,1,2,1
"425",2,1,2,2,0
"426",3,1,3,2,0
"427",2,2,2,2,0
"428",4,1,1,2,0
"429",2,1,1,2,0
"430",3,2,2,1,0
"431",3,1,2,3,0
"432",2,1,2,2,1
"433",2,1,1,3,1
"434",2,2,2,2,0
"435",2,1,0,2,0
"436",2,1,1,3,1
"437",3,1,2,2,1
"438",2,1,2,2,0
"439",2,2,3,3,0
"440",2,1,2,3,0
"441",2,1,2,2,0
"442",2,2,2,2,1
"443",2,1,1,2,1
"444",2,1,1,1,0
"445",2,2,2,2,0
"446",3,1,2,2,0
"447",3,1,2,1,1
"448",3,1,2,2,1
"449",3,1,2,3,1
"450",3,1,2,2,0
"451",2,2,0,3,0
"452",2,1,0,3,0
"453",2,1,2,3,0
"454",2,1,1,3,1
"455",3,1,2,3,0
"456",2,1,1,3,0
"457",2,1,2,2,1
"458",2,1,1,2,0
"459",1,1,2,3,1
"460",2,1,1,2,0
"461",2,1,0,1,0
"462",3,1,1,2,0
"463",3,1,2,2,1
"464",0,0,2,2,0
"465",2,2,1,3,1
"466",2,1,0,3,1
"467",2,0,1,2,0
"468",2,1,2,3,1
"469",3,1,2,2,1
"470",2,1,0,2,1
"471",2,2,3,2,0
"472",3,1,2,3,0
"473",2,2,0,3,1
"474",2,2,3,1,0
"475",3,1,2,2,1
"476",2,1,2,3,1
"477",2,1,1,2,0
"478",3,2,1,2,1
"479",2,1,2,3,0
"480",3,2,2,2,0
"481",2,1,1,2,0
"482",2,1,1,1,0
"483",2,1,1,2,1
"484",4,2,1,3,1
"485",2,1,2,2,0
"486",2,2,0,2,1
"487",3,1,2,1,1
"488",2,1,1,2,1
"489",2,1,2,3,1
"490",2,2,1,2,1
"491",4,2,1,2,1
"492",2,1,1,2,1
"493",2,1,2,2,1
"494",2,1,2,1,1
"495",2,1,1,2,0
"496",2,1,2,2,0
"497",2,1,1,3,1
"498",2,1,0,2,1
"499",3,1,2,2,0
"500",4,1,2,1,1
"501",2,1,1,2,0
"502",3,2,2,2,1
"503",2,1,2,3,1
"504",2,1,2,2,1
"505",2,1,2,3,1
"506",3,1,2,2,1
"507",2,1,1,2,1
"508",2,1,1,3,1
"509",3,1,1,3,0
"510",2,1,1,2,1
"511",2,1,2,3,1
"512",2,1,1,2,1
"513",2,1,2,2,0
"514",2,1,2,3,0
"515",2,1,3,2,1
"516",2,1,2,2,0
"517",3,1,2,2,0
"518",2,1,0,2,0
"519",2,1,0,3,1
"520",3,1,2,2,0
"521",3,1,1,2,1
"522",3,1,1,3,0
"523",2,1,2,1,1
"524",2,1,1,3,0
"525",2,2,2,2,0
"526",2,1,2,2,1
"527",2,1,1,2,1
"528",2,2,2,2,1
"529",3,1,2,3,1
"530",2,1,1,2,0
"531",2,1,2,2,1
"532",0,0,2,2,1
"533",2,1,1,3,0
"534",2,1,2,2,0
"535",2,1,1,2,0
"536",2,1,1,3,1
"537",2,1,1,2,0
"538",2,1,1,2,1
"539",2,1,2,2,1
"540",1,1,1,3,1
"541",2,1,1,2,0
"542",3,1,1,2,0
"543",2,1,2,1,0
"544",2,1,1,2,1
"545",0,0,2,1,1
"546",2,1,1,2,0
"547",2,1,1,3,1
"548",2,2,1,2,1
"549",2,1,2,3,0
"550",2,2,1,2,0
"551",2,1,2,3,0
"552",2,1,0,3,0
"553",2,1,0,2,0
"554",2,1,1,3,0
"555",2,1,0,3,0
"556",2,1,2,3,1
"557",2,2,2,2,1
"558",2,1,1,2,0
"559",3,1,1,3,1
"560",3,1,2,3,0
"561",2,1,4,2,0
"562",2,2,1,2,0
"563",2,1,0,3,0
"564",2,2,2,2,1
"565",2,2,2,3,1
"566",3,1,1,2,0
"567",2,1,1,3,0
"568",3,1,1,3,1
"569",2,1,1,1,0
"570",2,1,2,1,1
"571",2,1,1,3,0
"572",2,1,1,3,1
"573",2,2,2,2,1
"574",3,1,2,3,0
"575",2,1,1,2,0
"576",2,1,1,3,0
"577",2,2,1,3,1
"578",3,1,0,3,0
"579",3,1,2,2,0
"580",0,2,2,2,0
"581",2,1,1,1,0
"582",2,2,2,2,0
"583",2,2,2,2,1
"584",2,2,2,1,1
"585",2,1,2,2,0
"586",3,1,2,3,0
"587",2,1,1,0,1
"588",2,1,2,2,0
"589",2,1,1,3,0
"590",2,1,2,3,1
"591",2,1,1,2,0
"592",2,1,1,2,0
"593",3,1,2,1,1
"594",2,1,0,2,0
"595",2,1,0,3,1
"596",2,1,1,2,0
"597",2,1,2,2,0
"598",3,2,0,3,1
"599",2,1,1,1,0
"600",3,1,2,2,1
"601",2,1,2,2,1
"602",4,2,1,3,1
"603",0,0,2,2,0
"604",1,2,1,3,1
"605",2,1,1,2,0
"606",2,1,2,2,0
"607",1,1,1,2,0
"608",2,2,2,2,1
"609",2,1,1,2,0
"610",3,1,1,2,1
"611",2,1,0,1,0
"612",2,1,2,2,1
"613",2,1,0,2,0
"614",2,2,2,2,0
"615",2,1,2,3,0
"616",2,1,2,2,0
"617",2,1,1,2,0
"618",2,1,0,3,0
"619",3,1,2,3,0
"620",2,1,1,2,1
"621",3,1,2,3,1
"622",2,1,0,3,0
"623",2,1,1,3,0
"624",2,1,2,2,1
"625",2,1,2,2,1
"626",2,1,1,2,0
"627",2,1,1,2,0
"628",3,1,3,2,1
"629",4,2,1,3,1
"630",2,1,1,3,1
"631",0,0,2,2,0
"632",2,1,2,3,1
"633",2,1,1,1,1
"634",2,1,1,2,0
"635",2,2,2,3,0
"636",2,1,2,2,0
"637",2,1,2,2,0
"638",1,2,1,3,1
"639",2,1,1,2,0
"640",2,2,2,2,0
"641",2,1,2,3,0
"642",2,1,1,2,0
"643",3,1,0,3,0
"644",2,1,1,3,1
"645",3,1,2,3,1
"646",2,1,1,3,1
"647",3,1,1,3,1
"648",2,1,1,2,1
"649",2,2,2,2,1
"650",3,1,2,2,1
"651",3,1,2,3,1
"652",3,1,1,3,1
"653",3,1,2,3,1
"654",2,1,2,3,1
"655",2,2,2,2,1
"656",2,1,2,3,0
"657",2,1,1,3,0
"658",2,1,0,2,0
"659",2,1,1,3,0
"660",3,1,2,3,0
"661",2,2,2,2,1
"662",2,1,0,2,0
"663",2,1,1,2,1
"664",2,1,1,3,0
"665",3,1,2,2,1
"666",3,1,2,1,1
"667",2,1,0,3,0
"668",3,2,2,3,1
"669",2,1,1,2,1
"670",1,1,1,3,0
"671",2,1,2,2,0
"672",2,1,2,2,1
"673",2,1,2,3,0
"674",2,2,1,3,0
"675",2,2,1,2,0
"676",2,1,1,2,0
"677",2,1,3,3,0
"678",2,1,2,3,0
"679",4,1,2,2,0
"680",4,2,1,2,0
"681",2,1,2,2,0
"682",3,1,2,3,0
"683",3,1,1,2,1
"684",2,1,1,2,1
"685",2,1,0,2,0
"686",3,1,2,3,0
"687",2,1,1,2,0
"688",2,2,2,2,1
"689",3,1,2,2,1
"690",2,1,1,2,0
"691",3,1,2,2,1
"692",2,2,2,2,0
"693",2,1,2,3,1
"694",1,1,2,2,0
"695",3,2,2,3,0
"696",2,2,1,2,0
"697",2,2,2,2,1
"698",2,1,1,2,1
"699",3,1,0,2,1
"700",2,1,1,3,1
"701",2,1,2,2,1
"702",2,1,3,3,0
"703",2,2,2,3,0
"704",2,1,0,2,0
"705",3,1,0,2,1
"706",0,1,1,3,1
"707",0,1,1,2,0
"708",3,1,0,2,0
"709",2,1,2,2,0
"710",3,2,1,2,1
"711",2,2,3,2,1
"712",2,1,1,3,1
"713",1,2,3,2,0
"714",3,1,1,2,0
"715",2,1,1,2,1
"716",2,2,3,3,0
"717",1,1,1,2,1
"718",2,1,1,2,0
"719",2,1,1,2,0
"720",2,1,2,2,0
"721",2,1,2,2,0
"722",3,1,3,3,0
"723",3,1,3,3,0
"724",2,1,0,2,1
"725",3,1,3,3,1
"726",3,1,2,3,0
"727",2,1,1,1,0
"728",2,1,3,2,0
"729",3,1,1,3,0
"730",3,1,0,3,0
"731",3,1,2,3,1
"732",3,1,1,2,0
"733",2,1,2,2,0
"734",2,2,0,2,0
"735",2,1,2,3,1
"736",2,1,2,1,1
"737",2,2,2,3,1
"738",2,1,2,2,0
"739",2,1,1,2,1
"740",2,1,0,2,0
"741",2,1,2,2,0
"742",3,1,1,2,1
"743",3,2,3,2,0
"744",0,2,1,2,1
"745",2,1,1,2,0
"746",2,1,1,2,0
"747",2,2,0,2,1
"748",2,1,1,2,0
"749",2,1,2,2,0
"750",2,1,2,1,0
"751",3,2,3,1,1
"752",2,1,2,3,0
"753",3,1,2,2,1
"754",2,1,1,2,0
"755",1,1,1,3,1
"756",2,1,0,2,0
"757",2,2,1,2,1
"758",3,1,2,2,0
"759",2,1,1,3,1
"760",2,2,0,1,0
"761",4,1,2,2,1
"762",2,1,2,3,1
"763",2,1,2,2,0
"764",2,1,1,3,0
"765",3,1,2,3,1
"766",2,1,0,2,1
"767",1,1,2,2,1
"768",2,1,0,3,0
"769",2,1,2,2,0
"770",3,1,2,2,1
"771",2,1,1,2,0
"772",2,1,3,3,0
"773",2,1,2,3,0
"774",2,1,0,2,0
"775",2,1,2,3,0
"776",2,1,1,2,0
"777",2,1,0,3,0
"778",1,1,2,1,0
"779",3,1,2,2,0
"780",2,0,1,2,0
"781",3,1,1,3,0
"782",2,1,1,3,0
"783",2,1,2,1,1
"784",3,1,1,2,0
"785",2,1,3,2,0
"786",2,2,3,3,0
"787",2,1,1,2,0
"788",2,1,1,2,1
"789",2,1,0,1,0
"790",3,1,0,2,1
"791",2,1,0,3,1
"792",2,1,1,3,0
"793",2,1,1,2,0
"794",2,1,1,3,0
"795",2,2,3,3,0
"796",2,1,2,2,0
"797",2,1,0,1,0
"798",2,1,2,1,0
"799",2,1,0,2,1
"800",2,1,1,3,0
"801",2,1,1,3,0
"802",2,0,1,2,0
"803",2,1,1,2,0
"804",2,1,1,2,0
"805",2,1,2,3,1
"806",2,2,0,3,0
"807",2,1,2,3,0
"808",2,2,2,1,1
"809",2,1,1,1,0
"810",3,2,1,2,1
"811",0,1,3,2,0
"812",2,1,2,2,0
"813",2,1,1,3,0
"814",3,1,1,2,1
"815",2,1,3,3,0
"816",2,1,2,1,1
"817",3,1,2,3,0
"818",2,2,0,2,0
"819",2,1,2,2,0
"820",2,1,2,3,1
"821",2,1,0,2,0
"822",2,1,0,2,0
"823",2,1,1,3,1
"824",2,1,1,1,1
"825",3,2,3,3,0
"826",4,2,2,3,1
"827",2,1,1,3,0
"828",3,1,0,3,1
"829",2,1,1,3,0
"830",2,2,3,3,0
"831",2,1,2,3,0
"832",2,1,2,1,1
"833",3,1,1,2,0
"834",2,1,0,3,1
"835",4,2,1,3,0
"836",2,1,1,2,0
"837",3,1,3,3,0
"838",2,1,1,3,0
"839",2,1,0,2,0
"840",2,1,1,3,0
"841",3,1,3,2,0
"842",1,1,1,2,1
"843",2,1,2,3,0
"844",2,2,2,3,1
"845",2,1,2,3,0
"846",2,2,3,1,0
"847",2,1,2,1,0
"848",3,2,4,3,1
"849",2,1,2,2,0
"850",3,1,1,2,1
"851",2,2,2,3,0
"852",0,1,2,3,0
"853",2,1,2,2,0
"854",2,1,2,3,0
"855",3,1,1,2,0
"856",2,1,2,3,0
"857",2,2,0,2,0
"858",2,2,3,3,0
"859",3,2,2,3,0
"860",1,1,1,2,0
"861",2,1,2,1,0
"862",0,1,3,2,0
"863",0,1,3,1,0
"864",2,1,3,1,1
"865",2,1,2,3,0
"866",2,2,2,2,1
"867",2,1,1,1,1
"868",2,1,1,3,0
"869",3,1,0,2,0
"870",2,0,2,3,0
"871",3,1,2,3,0
"872",2,1,1,2,1
"873",3,1,1,2,0
"874",2,1,3,2,1
"875",2,1,2,3,0
"876",2,1,2,1,0
"877",2,2,3,2,0
"878",2,1,1,1,0
"879",2,1,1,2,0
"880",3,2,1,3,0
"881",2,1,2,2,1
"882",0,2,0,2,0
"883",2,1,1,3,0
"884",2,1,1,2,0
"885",2,1,0,2,0
"886",2,1,2,3,0
"887",2,1,0,3,1
"888",2,2,1,2,0
"889",2,1,2,3,0
"890",2,2,1,3,1
"891",3,1,1,2,1
"892",2,2,2,2,1
"893",3,2,1,3,0
"894",2,1,0,3,1
"895",2,1,2,2,1
"896",2,2,1,3,0
"897",3,1,2,3,1
"898",1,1,1,3,0
"899",2,2,0,3,1
"900",2,1,1,2,0
"901",0,1,1,2,0
"902",1,1,2,3,0
"903",2,1,3,2,0
"904",2,1,2,1,1
"905",2,1,1,2,0
"906",2,2,1,2,0
"907",3,1,2,3,0
"908",0,1,3,2,0
"909",2,2,1,3,0
"910",2,1,1,1,0
"911",2,1,2,2,0
"912",0,2,1,1,0
"913",2,1,1,2,1
"914",1,1,0,2,1
"915",2,1,2,3,0
"916",2,2,2,3,0
"917",2,1,2,2,0
"918",2,2,3,1,1
"919",2,1,3,2,0
"920",2,2,2,3,1
"921",2,1,1,3,0
"922",2,1,1,2,0
"923",2,1,2,2,0
"924",3,2,2,3,0
"925",2,1,1,3,0
"926",0,1,1,2,1
"927",3,2,1,2,0
"928",2,1,2,2,0
"929",3,2,2,3,0
"930",1,0,1,3,1
"931",2,1,2,3,0
"932",3,2,3,3,1
"933",2,1,2,3,0
"934",3,2,0,2,0
"935",2,1,2,3,1
"936",2,1,0,2,1
"937",0,1,3,2,0
"938",2,1,2,2,0
"939",2,1,1,2,0
"940",1,1,0,3,0
"941",0,2,2,2,1
"942",2,1,1,2,1
"943",2,1,0,1,0
"944",2,1,1,1,0
"945",2,1,1,2,0
"946",2,1,2,3,0
"947",3,1,0,2,1
"948",2,1,1,2,0
"949",2,1,1,2,1
"950",2,1,1,2,0
"951",2,1,2,2,0
"952",2,1,1,3,0
"953",2,2,2,2,0
"954",2,1,1,3,0
"955",2,1,1,3,0
"956",3,2,3,1,0
"957",2,2,1,2,0
"958",4,1,1,2,1
"959",0,1,2,2,0
"960",2,1,2,3,1
"961",2,1,1,3,0
"962",3,1,1,2,0
"963",0,1,1,2,1
"964",2,1,2,2,1
"965",2,2,2,3,1
"966",2,1,2,2,1
"967",3,2,2,2,0
"968",3,1,0,3,1
"969",2,1,2,2,1
"970",2,1,2,2,0
"971",2,1,1,3,0
"972",2,1,2,3,1
"973",3,1,1,3,0
"974",2,1,1,2,0
"975",3,1,3,3,1
"976",2,1,1,2,0
"977",3,1,2,3,1
"978",3,1,2,2,0
"979",3,1,1,1,0
"980",3,1,1,3,1
"981",3,2,1,3,1
"982",2,1,1,1,1
"983",3,1,1,2,1
"984",2,1,2,1,1
"985",2,1,1,3,1
"986",2,1,2,2,1
"987",2,1,1,3,1
"988",2,1,2,2,0
"989",2,1,1,3,0
"990",2,1,1,2,1
"991",1,1,1,3,0
"992",3,2,2,3,0
"993",2,1,3,2,0
"994",2,1,2,2,0
"995",2,1,1,2,0
"996",2,1,1,2,0
"997",2,2,2,2,1
"998",3,2,3,3,0
"999",2,1,2,2,1
"1000",2,2,1,2,0
"1001",3,2,3,2,0
"1002",2,1,2,3,0
"1003",2,2,1,2,0
"1004",2,2,1,3,0
"1005",3,1,2,3,0
"1006",2,1,2,3,0
"1007",2,1,3,2,0
"1008",2,2,2,3,0
"1009",2,1,2,3,1
"1010",2,1,1,3,1
"1011",2,1,0,2,1
"1012",3,0,1,2,0
"1013",2,1,2,2,0
"1014",2,1,1,3,1
"1015",2,1,2,3,0
"1016",2,1,0,3,1
"1017",2,1,2,1,1
"1018",2,1,2,3,0
"1019",2,1,1,3,1
"1020",2,1,1,2,0
"1021",3,1,1,3,0
"1022",2,1,2,2,1
"1023",3,1,1,3,1
"1024",2,1,2,1,1
"1025",2,1,2,3,0
"1026",2,1,2,2,0
"1027",2,2,1,2,1
"1028",3,1,0,3,1
"1029",2,1,1,2,0
"1030",3,1,0,2,0
"1031",3,2,2,2,0
"1032",3,1,1,1,0
"1033",2,0,1,2,0
"1034",2,1,2,2,0
"1035",2,1,0,3,1
"1036",3,1,2,2,1
"1037",1,1,1,2,1
"1038",2,1,0,3,1
"1039",2,1,1,1,0
"1040",2,2,2,2,0
"1041",2,1,2,2,0
"1042",2,1,1,2,0
"1043",2,1,2,2,0
"1044",2,1,2,1,0
"1045",2,1,2,3,0
"1046",2,1,2,3,1
"1047",2,1,2,2,0
"1048",0,1,2,1,0
"1049",4,1,2,2,0
"1050",2,1,2,3,0
"1051",2,1,3,2,0
"1052",2,1,2,3,0
"1053",2,1,3,2,0
"1054",2,1,0,2,0
"1055",3,1,3,3,0
"1056",2,2,1,3,0
"1057",2,1,1,2,1
"1058",2,2,2,2,0
"1059",2,1,2,2,0
"1060",2,2,1,2,0
"1061",4,1,2,2,1
"1062",3,2,2,2,1
"1063",2,1,2,2,0
"1064",2,2,1,3,1
"1065",2,1,1,2,1
"1066",2,2,2,2,1
"1067",3,1,2,2,0
"1068",3,1,0,3,1
